Date,Reformate Tank Volume (BBL),LHCN/HHC Tank Volume (BBL),LCN Tank Volume (BBL),CYHEX/SAT C6 Tank Volume (BBL),Alkylate Tank Volume (BBL),CC5/Dimate Tank Volume (BBL),SAT C5 Tank Volume (BBL),NC4 Tank Volume (BBL),Reformate Octane,LHCN/HHC Octane,LCN Octane,CYHEX/SAT C6 Octane,Alkylate Octane,CC5/Dimate Octane,SAT C5 Octane,NC4 Octane,Reformate Sulfur (WPPM),LHCN/HHC Sulfur (WPPM),LCN Sulfur (WPPM),CYHEX/SAT C6 Sulfur (WPPM),Alkylate Sulfur (WPPM),CC5/Dimate Sulfur (WPPM),SAT C5 Sulfur (WPPM),NC4 Sulfur (WPPM),Reformate Aromatics (VOL %),LHCN/HHC Aromatics (VOL %),LCN Aromatics (VOL %),CYHEX/SAT C6 Aromatics (VOL %),Alkylate Aromatics (VOL %),CC5/Dimate Aromatics (VOL %),SAT C5 Aromatics (VOL %),NC4 Aromatics (LV%),Reformate Benzene (VOL %),LHCN/HHC Benzene (VOL %),LCN Benzene (VOL %),CYHEX/SAT C6 Benzene (VOL %),Alkylate Benzene (VOL %),CC5/Dimate Benzene (VOL %),SAT C5 Benzene (VOL %),NC4 Benzene (VOL %),Reformate Olefins (VOL %),LHCN/HHC Olefins (VOL %),LCN Olefins (VOL %),CYHEX/SAT C6 Olefins (VOL %),Alkylate Olefins (VOL %),CC5/Dimate Olefins (LV%),SAT C5 Olefins (LV%),NC4 Olefins (LV%),Reformate RVP (PSI),LHCN/HHC RVP (PSI),LCN RVP (PSI),CYHEX/SAT C6 RVP (PSI),Alkylate RVP (PSI),CC5/Dimate RVP (PSI),SAT C5 RVP (PSI),NC4 RVP (PSI),Reformate cost ($/bbl),LHCN/HHC cost ($/bbl),LCN cost ($/bbl),CYHEX/SAT C6 cost ($/bbl),Alkylate cost ($/bbl),CC5/Dimate cost ($/bbl),SAT C5 cost ($/bbl),NC4 cost ($/bbl)
1/1/2024,129746.7,33456.1,71046.6,37236.4,100857.3,26800,12804.9,98535.9,86.6,85.15,75.3,75.45,92,90.3,87.2,109.2,0.3,2.2,3.5,0.3,2.7,39,0.7,1,56.4,50.7,15.9,9.6,0.7,0.2,0.3,0,0,0.2,1.5,1.2,0,0.1,0.3,0,0.5,1.3,0.7,0,1.8,61.3,0.1,0.5,0.77,0.97,4.64,5.03,4.47,15.21,19.57,39.2,155,80,70,80,165,100,60,35
1/2/2024,130162.2,32166.8,68448.6,33708.4,100608.5,26900,10483.1,89092,86.6,85.15,75.3,75.45,92,90.3,87.2,109.2,0.3,2.2,3.5,0.3,2.7,39,0.7,1,56.4,50.7,15.9,9.6,0.7,0.2,0.3,0,0,0.2,1.5,1.2,0,0.1,0.3,0,0.5,1.3,0.7,0,1.8,61.3,0.1,0.5,0.77,0.97,4.64,5.03,4.47,15.21,19.57,39.2,155,80,70,80,165,100,60,35
1/3/2024,132129.6,41506.5,73949.4,36088.6,91956.2,29300,14506.2,90451.6,86.6,85.15,75.3,75.45,92,90.3,87.2,109.1,0.3,2.2,3.5,0.3,2.7,39,0.7,1,56.4,50.7,15.9,9.6,0.7,0.2,0.3,0,0,0.2,1.5,1.2,0,0.1,0.3,0,0.5,1.3,0.7,0,1.8,61.3,0.1,0.5,0.77,0.97,4.64,5.03,4.47,15.21,19.57,38.97,155,80,70,80,165,100,60,35
1/4/2024,138901.6,49618.3,74537,40549.6,101089.5,33300,18731.1,92228.6,86.6,85.15,75.3,75.45,92,90.3,87.2,109.1,0.3,2.2,3.5,0.3,2.7,39,0.7,1,56.4,50.7,15.9,9.6,0.7,0.2,0.3,0,0,0.2,1.5,1.2,0,0.1,0.3,0,0.5,1.3,0.7,0,1.8,61.3,0.1,0.5,0.77,0.97,4.64,5.03,4.47,15.21,19.57,38.8,155,80,70,80,165,100,60,35
1/5/2024,145690.8,48265.5,55174.7,39877.3,110299.7,31600,22836.3,94246.1,86.6,85.15,75.3,75.45,92,90.3,87.2,109.1,0.3,2.2,3.5,0.3,2.7,39,0.7,1,56.4,50.7,15.9,9.6,0.7,0.2,0.3,0,0,0.2,1.5,1.2,0,0.1,0.3,0,0.5,1.3,0.7,0,1.8,61.3,0.1,0.5,0.77,0.97,4.64,5.03,4.47,15.21,19.57,38.8,155,80,70,80,165,100,60,35
1/6/2024,145460.5,44088,46951.7,19160.6,107985.8,31500,26732,95331.1,86.8,85.25,75.25,75.45,92,90,87.25,109.1,0.3,2.2,2.7,0.3,2.7,39,0.6,1,57,50.9,16.5,9.6,0.7,0.2,0.3,0,0,0.2,1.6,1.2,0,0.1,0.3,0,0.5,1.3,0.7,0,1.8,59,0.1,0.5,0.66,0.97,4.88,5.03,4.47,15.35,20.08,38.8,155,80,70,80,165,100,60,35
1/7/2024,145537,39279.6,46216.7,14862.5,106978.5,30200,30015.1,96122.7,86.85,87,75.2,75.95,91.9,89.85,87.25,109.1,0.3,1.7,2.2,0.3,2.5,39,0.6,1,57.3,54.9,16.9,10.5,0.7,0.2,0.3,0,0,0.2,1.6,1.3,0,0.1,0.3,0,0.5,0.8,0.7,0,0.8,57.7,0.1,0.5,0.61,1,5.01,5,4.53,15.42,20.42,38.8,155,80,70,80,165,100,60,35
1/8/2024,146967.3,39967.5,51643.9,18170.4,103343.7,32200,30856.8,97538.5,86.85,87,75.2,75.95,91.9,89.85,87.25,109.1,0.3,1.7,2.2,0.3,2.5,39,0.6,1,57.3,54.9,16.9,10.5,0.7,0.2,0.3,0,0,0.2,1.6,1.3,0,0.1,0.3,0,0.5,0.8,0.7,0,0.8,57.7,0.1,0.5,0.61,1,5.01,5,4.53,15.42,20.42,38.8,155,80,70,80,165,100,60,35
1/9/2024,149089.2,41138.5,53814.2,19212.1,112202.7,33700,33734,99749.4,86.85,87,75.2,75.95,91.9,89.85,87.25,109.1,0.3,1.7,2.2,0.3,2.5,39,0.6,1,57.3,54.9,16.9,10.5,0.7,0.2,0.3,0,0,0.2,1.6,1.3,0,0.1,0.3,0,0.5,0.8,0.7,0,0.8,57.7,0.1,0.5,0.61,1,5.01,5,4.53,15.42,20.42,38.8,155,80,70,80,165,100,60,35
1/10/2024,150328.2,44423.9,59485.3,23601.3,121418.2,36500,35182.9,101756.8,86.85,87,75.2,75.95,91.9,89.85,87.25,109,0.3,1.7,2.2,0.3,2.5,39,0.6,1,57.3,54.9,16.9,10.5,0.7,0.2,0.3,0,0,0.2,1.6,1.3,0,0.1,0.3,0,0.5,0.8,0.7,0,0.8,57.7,0.1,0.5,0.61,1,5.01,5,4.53,15.42,20.42,38.74,155,80,70,80,165,100,60,35
